id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
0gTjRKnv2AyIQPCRoxCrPX,Your Dreams Are My Dreams,Exxasens,0.000765,0.421,0.871,0.275,0.791,0.0536,79.989,-6.442,0,9,187067.0,4.0
4GIP759ogUj3fdS8IjdCD5,Somebody's Watching Me,Byron's Brigades,0.000184,0.536,0.931,0.487,0.00345,0.0448,127.978,-5.477,1,9,193696.0,4.0
3LAtSeL4EScuLmRpKcZsdn,Words Unsaid,Hopsydian,0.0107,0.558,0.856,0.327,5.84e-05,0.0692,105.005,-6.854,1,1,196286.0,4.0
0yGEtWW1560pa3KHMzh0uc,Needles and Pins,The Searchers,0.416,0.45,0.88,0.838,0.0,0.0559,123.918,-7.913,1,9,131880.0,4.0
3BgwhmQ1S3QToYXz6b5UNn,Arctic Funk,Their Methlab,0.0063,0.311,0.663,0.0765,0.689,0.0407,117.941,-8.237,1,7,534142.0,4.0
6D0u5ZDBJOmk41aHY8krlN,僕と花,sakanaction,0.256,0.636,0.542,0.75,1.57e-05,0.0297,130.02,-5.217,1,8,230804.0,4.0
64pGB9FHgZsu60aNC3mK9s,OMG,Suki Waterhouse,0.0364,0.547,0.693,0.296,3.76e-05,0.0282,105.904,-4.946,0,6,178570.0,4.0
4FG86wYpIjIl5NrOr79Fxf,Tough Love,Flyte,0.683,0.739,0.622,0.616,0.272,0.0288,119.942,-6.872,1,2,181763.0,4.0
5EHGg4IKZV1BvUFz2o5hrC,Whatever Floats Your Boat,tide/edit,0.00124,0.266,0.895,0.374,0.9,0.0426,91.722,-8.519,1,6,231642.0,4.0
5ciSr1SyZUQrxySlxZhdhg,Birmingham,Shovels & Rope,0.0135,0.61,0.591,0.406,0.0,0.0323,82.512,-7.125,1,7,240536.0,4.0
101LyPMFzGQdvHAd1sOyOR,Secret Place,Guiltera,8.28e-05,0.462,0.53,0.281,1.31e-05,0.0292,108.835,-9.618,0,10,162001.0,4.0
52Fw0bPlDegUpoETTxtIgf,Taijin Kyofusho,The Evpatoria Report,0.005,0.24,0.653,0.0558,0.719,0.0392,92.101,-7.755,0,7,660200.0,4.0
